iso3_country,country_name,emissions_2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,emissions_2025,change_2015_2025,percent_change_2015_2025
ABW,ABW,1590824.2719488854,1659905.8229494607,1735166.0648256913,1656429.768288938,1637213.865912787,1358050.6768175422,1636632.3476159284,1678291.2524982763,1622670.2238175157,1727924.6350733447,1716353.9491282736,125529.67717938824,7.8908575505705905
AFG,AFG,42534868.18453234,39420919.85645408,40260215.722448684,44593962.44080597,43786153.13574851,44330116.56225362,44052841.597770415,44380848.33440656,45798312.15724445,47130011.89270508,47774753.0662068,5239884.881674454,12.319034019200087
AGO,AGO,109433190.1277956,108759962.30921264,104636852.75030604,101598931.66231628,102025912.40896054,90036192.02241038,92420675.56162488,95665642.7456263,96640200.28140724,94589061.51796822,93369995.7096732,-16063194.41812238,-14.678539846424886
AIA,AIA,148716.1257016271,157637.20446104908,157655.54904328095,149075.21156383655,155561.1229328748,144849.8534382798,143828.88362319078,148281.84066573787,175681.56919006986,166587.99435104674,164915.61431622892,16199.48861460181,10.89289311308664
ALA,ALA,329659.3172573522,358232.35819456296,383103.428594648,393897.119893784,405305.48245612025,415983.2308265207,476237.8212701599,459653.3614380162,354515.38125268306,392939.1321267058,431071.5643641669,101412.2471068147,30.762742564210956
ALB,ALB,12136243.627436072,11661376.641968742,11938723.99411914,11801569.686468778,12048401.200083388,10579831.932221832,10923003.551847408,11010748.03511302,10923190.776906032,10996467.549318371,11111707.268896371,-1024536.3585396986,-8.441956094417531
AND,AND,228208.6902705972,228968.66514913773,234806.92779514584,242638.1039872841,241143.4271319229,236880.9316169775,242876.3236030711,239582.80185576665,239406.80589479185,241539.2081971358,244392.25139658336,16183.561125986162,7.091562160405282
ARE,ARE,399343583.1777664,413102188.7220494,402685563.4087296,388753220.9273661,407843381.995292,381067131.76557887,403336766.0068238,427928081.944479,432489941.48797387,438782996.7990248,437054861.9198544,37711278.74208796,9.443316565149592
ARG,ARG,424606949.2270078,422491619.90748215,433039390.93899584,432653272.1910192,432192754.1965676,409767221.8910889,443567998.8835108,454553446.6252407,445730857.3935676,455662645.63387966,463406268.9835172,38799319.75650936,9.13770248629776
ARM,ARM,10666414.518704256,10351120.498606622,10645765.36633321,10738684.14945264,11504130.897439187,12548834.33315338,13321612.037402986,13510530.597488968,14042668.960985512,13228225.502181754,13327155.697715688,2660741.1790114325,24.945038225784764
ASM,ASM,312698.1061189769,321947.21276666125,351341.5537121482,357924.8777768142,341055.6370501196,324027.8726351302,330192.0097380949,335518.13684808183,378537.35652828834,351383.1725563047,334195.2730466714,21497.16692769452,6.874735250080207
ATA,ATA,74525.87735029866,95109.9373283977,123026.93688257094,135245.43040826212,159011.84972017628,122993.84808240272,122495.49801943706,287354.7794538125,466430.1514179834,548183.3799631041,615648.3053032754,541122.4279529767,726.086625467695
ATF,ATF,798.9444868704187,811.9762953511188,824.4379274889782,842.4485982043594,845.1810606966541,763.9939412966044,962.96918678402,690.812260693838,624.4718502640924,629.6602774296989,703.8446364363974,-95.09985043402128,-11.90318626598716
ATG,ATG,899555.5782360183,948480.7439945182,1050707.2446318169,1031555.882367189,1084587.3487338957,850609.9332449724,885626.1563601957,1045195.373945474,1032668.5242468942,1083723.1574723,1043826.7588595996,144271.1806235814,16.038050801317876
AUS,AUS,753852739.2887143,774549701.1492918,797611023.7558202,809147146.7496042,820290854.1847614,790004427.6187133,790616219.897708,791163907.4095097,803994818.9036922,800550618.5228341,789368731.4671799,35515992.178465605,4.7112639282807605
AUT,AUT,86241032.60563555,85835805.59911355,89548565.47366074,84234500.93184407,86646218.55667059,78960023.2889976,83584615.2312213,80961084.84802824,77419650.32882065,78352601.73010951,80530835.21993318,-5710197.385702372,-6.621207113572096
AZE,AZE,76325186.63563357,75604482.93157303,76465020.71631208,79394861.74527301,83856340.196444,81634874.06063499,88206898.8709809,89924350.56944908,90884481.78803034,91246568.859923,91958686.53398204,15633499.89834848,20.48275358038855
BDI,BDI,9644874.023095671,10066317.1144611,10944269.344863173,11534360.40835524,11909625.8641795,11504330.545692584,12266976.365659423,12502965.51177484,12548623.53911339,12715386.490117054,12794025.009466637,3149150.986370962,32.65103285776451
BEL,BEL,140318178.27060428,139958680.57410926,139548287.02310583,140751415.72104967,140697400.1327631,131198215.92550604,137095677.56860343,131684065.72577962,123964273.20496008,126965680.61210212,128238101.51395053,-12080076.75665377,-8.609060426481083
BEN,BEN,15569903.885484343,17103619.436889857,17492897.878350697,19686838.721834663,19532050.187093318,19737603.156144768,18051484.375712022,18615286.6545161,19254429.770716947,18955391.102210466,19269527.976804774,3699624.0913204327,23.761380407553784
BES,BES,1755879.555764705,1795563.813834415,1803632.9816592303,1171350.305479106,1177730.458966956,1051740.8613839922,1092043.8141212529,1208575.7706661262,1136473.277842851,1154927.4249818528,1099666.2922171932,-656213.2635475118,-37.37233920134822
BFA,BFA,36286042.29315829,37229576.58221434,38469949.43749705,40464431.48793023,41570922.04647304,35986884.627423376,40049180.88622864,41101516.344722666,41962176.00589459,41358479.33186673,41720129.23699029,5434086.943831995,14.975694786247296
BGD,BGD,286458380.70930016,293340394.2252547,295369270.15934855,305932480.7827982,307423977.04550165,302289625.8433768,316387100.6183435,316817688.63344955,316416833.33154786,325959080.55661654,329452748.5470354,42994367.83773524,15.008940472007415
BGR,BGR,65085785.04827086,62210859.72148717,65123765.49131067,63091619.49897288,61704515.697128266,56243325.37521773,62023563.26177779,65106792.38253015,54685277.28716135,51173952.19044794,51550375.762182586,-13535409.286088273,-20.796260314060497
BHR,BHR,63870685.949653134,65026958.86893017,65494060.26642028,66022650.024115935,69957631.4369658,69374835.9912259,72515143.5484714,74769594.1857533,74717146.8137985,74731874.1694534,75956371.1732279,12085685.223574772,18.922115903219616
BHS,BHS,4750771.396352633,5082771.254429299,5356076.100852676,5883427.549966917,6473666.428395053,5931586.79917215,6201446.503660871,6896193.922300068,7013364.931389616,7618037.6497620605,7644733.845611288,2893962.449258656,60.91563259559221
BIH,BIH,30725457.18216398,34216117.78669906,34837410.48133056,35029007.74414118,33398880.028186776,34010064.45855314,34066613.10163929,34646258.371792465,34284591.729266725,34054218.36611222,32652740.345567614,1927283.163403634,6.272593934004715
BLM,BLM,94118.74203598654,113861.07092670564,111674.8081799603,94983.06692961587,125980.04597653994,129795.97678187724,120183.15697627015,145119.2011726119,160014.24364777352,132026.64230976027,139079.0898932672,44960.34785728066,47.76981383802384
BLR,BLR,137995203.5289274,136824988.89222553,138037854.867029,141377497.8271904,138906097.67432132,135217822.0527196,135368627.33755884,132579846.42887732,130577529.7027066,131095726.16868164,130243893.50311863,-7751310.025808752,-5.617086556333732
BLZ,BLZ,1677452.8356415788,1737332.1123039173,1819613.0190689329,1762811.9646810936,1887363.9956539224,1756565.3984855397,1785072.5055410108,1854996.8888700795,2191645.1770864083,2272941.1458877623,2320478.096147049,643025.2605054704,38.33343309825646
BMU,BMU,1052887.6338346044,1097851.658710951,1187427.7175764176,1144394.6822883412,1197436.5520432768,811820.1730514284,856728.4913169993,1075543.339242041,1084704.1270955524,1132752.0405095078,1088596.158113879,35708.52427927451,3.391484820580947
BOL,BOL,70003808.61183295,72140849.26774934,73496708.73881006,74258223.54534915,73873667.11781004,68627386.69971675,80070145.99273212,80876479.44283068,81544844.81290177,82401185.04665065,82161150.6164844,12157342.004651455,17.36668653567581
BRA,BRA,1292530712.2603526,1255535408.3228595,1273849731.1174026,1260487314.0608263,1273440974.9771154,1269759876.5448492,1354940589.5371137,1341639822.7958713,1350652665.6295595,1354907812.8045518,1367986488.607181,75455776.34682846,5.837832372653867
BRB,BRB,2225588.6196925333,2317504.413794653,2335295.069015522,2437205.8395304773,2523048.7897429257,2453772.814047405,2222913.48816584,2439663.630837996,2448855.006933631,2504379.608579057,2477824.181659105,252235.5619665715,11.333431512667334
BRN,BRN,14766448.495312303,14615924.706068449,14734846.162045412,14995678.61209607,15806903.635394532,17503247.25039013,17218455.58688924,15727006.246198326,15830774.80268984,16315280.639482835,16341595.154061971,1575146.658749668,10.667064997041823
BTN,BTN,3456044.918390694,3721598.311223924,3763058.057032249,4028017.327283867,4413821.158781631,4052112.095778814,3887885.919917975,3754215.888628904,3651070.498478472,3789608.193367892,3852158.477896332,396113.55950563774,11.46147023141377
BVT,BVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BWA,BWA,19537347.939776976,18432384.282620173,18539075.21356364,19822177.29658844,18260071.34904343,16390851.409105027,17304083.825846337,18019862.76871899,17780121.53296072,17500838.633342538,17342519.82002208,-2194828.119754896,-11.23401255134708
CAF,CAF,13115483.810161466,13560235.741780896,13464006.844814137,13839548.88832718,14365987.51368548,14338169.118720911,14578830.529134529,14928909.109376673,15424763.91353625,15334474.331990128,15350342.465201968,2234858.6550405025,17.03984913853505
CAN,CAN,883321376.26099,880601711.5370444,901168818.5108752,925819192.7798628,924069178.8164212,857506656.1801119,886810912.2870386,915391426.527406,928392008.6901312,936228249.1343164,934156698.9840608,50835322.72307086,5.755020096791005
CCK,CCK,4864.358790126439,5104.7956760633815,5110.743959279978,4999.312551656703,5031.341739651149,4899.152189282298,5313.648412443407,4575.516132060132,4288.9465219675085,4412.03987020708,5081.664937817368,217.3061476909288,4.467313310276612
CHE,CHE,48794770.355700806,50030080.48667424,49457803.73441112,48318228.090771824,48153540.24411322,42562048.80999191,44230679.87613256,43530899.49253307,43714440.84946594,44048962.77303712,44533106.52252848,-4261663.833172321,-8.733853652975379
CHL,CHL,122591514.89091304,127257071.3334858,128656170.98604377,133364975.35699192,138239965.37585875,128921593.1921558,135213422.19074604,136419406.0161968,129358212.70835076,127839321.90221474,124503647.43439344,1912132.5434803965,1.5597592909932554
CHN,CHN,13999522685.976353,14150599414.35231,14496319324.18797,14940081077.713928,15349573726.20533,15707210920.622612,16416686066.585648,16605212746.699286,17360294323.349625,17519937428.87007,17518235252.209835,3518712566.2334824,25.13451812009461
CIV,CIV,33196496.383378804,35048525.34882574,36026809.49144525,36595422.71542875,38026625.02192928,37596843.925366215,39143106.96177643,40030556.384755015,41107775.97068189,42214594.682321504,43931332.934595264,10734836.55121646,32.33725760466487
CMR,CMR,55001351.01332835,55757510.96533087,53732295.97467759,55203128.11125313,56239239.591542,57951332.55256193,57960487.310487404,58718562.15790204,59739101.50274977,60551320.97917366,60422668.8423386,5421317.829010248,9.856699388523223
COD,COD,47953341.64609596,43905736.08338673,47420814.05252575,47727807.54961236,49786815.8101099,56800758.73333135,59731125.55557988,63124026.69993053,65521050.22117545,67213527.86427383,67859028.27829756,19905686.6322016,41.510530755310114
COG,COG,28609287.09958465,27801836.50485829,29982530.29851733,33319466.97904789,34300303.073938504,32007158.744653497,30505919.06938757,31545215.627682667,32625413.355653983,33703784.61084601,35188327.928956024,6579040.829371374,22.996171860105136
COK,COK,155775.66309242492,173663.7648501253,175643.43097466498,188698.33318465357,198830.30876903076,131374.80346027375,134623.91585219614,156452.62142170206,175665.0623982878,190293.57467946893,198200.49511611785,42424.83202369293,27.234570010157107
COL,COL,233574383.6481122,233410751.960825,225746761.0518011,236014938.24178547,242957138.49392527,231984805.178613,238410096.57343733,243082155.34700665,250026380.8702108,256571023.20830676,255137547.74988335,21563164.101771176,9.231818902819764
COM,COM,636213.8595251924,672129.2903817944,749863.244441052,765377.2113902459,847326.7920990528,860842.3515222501,820095.5481158893,854036.08547574,853077.9575716092,881625.5246035672,881815.2232446062,245601.36371941376,38.60358589212541
CPV,CPV,1188115.3473729794,1335056.1413264244,1370466.5600269253,1454259.4379784258,1627040.0382545225,1359087.233397561,1386065.979221107,1603694.970398655,1622562.9756227336,1823654.0981192295,1863486.7509498096,675371.4035768302,56.84392555572418
CRI,CRI,18574753.472182456,18884292.09305201,18958229.898896743,19430199.621021792,20501527.71053926,18317187.483917084,20151204.12163548,19762817.50877582,20437255.310250185,21166189.08257635,21050590.26623819,2475836.794055734,13.32904255102791
CUB,CUB,60921784.53965113,58631142.44247583,58409062.57705282,58263052.37990278,53929276.112351686,48584045.68081025,47395363.05579837,46026161.50279251,46521582.0215864,46675366.835949466,45983589.845006734,-14938194.6946444,-24.520284176708294
CUW,CUW,4143175.9734048992,4057259.175132572,3440918.421831518,3037238.6138336994,2713280.7309878776,2596105.4153468544,2550604.817434096,2651527.790609256,2682886.912206621,2855472.8337836256,2818494.379505273,-1324681.5938996263,-31.972612372797453
CXR,CXR,9527.829148964298,8995.380072932148,9161.843091793457,9490.834202565033,9461.763988854014,8673.947862862258,23066.924915834225,32915.44567805331,30287.37367509288,26594.57783474889,27778.9097133057,18251.0805643414,191.55549788931037
CYM,CYM,1037214.7010330372,1093033.677640172,1043244.4337758104,1078290.49185399,1158602.645600726,894577.4973278238,827298.7019860108,983894.2629762732,1072868.6219425283,1115014.9647131748,1086844.0762135729,49629.3751805356,4.784870011108222
CYP,CYP,8447043.805938156,9144540.25002649,9794922.003385464,10304120.157837862,10988681.594811672,9875519.039502963,10614286.051349107,11221748.027928744,11437375.710045245,11424471.777718946,11600326.677495142,3153282.871556986,37.33001679641191
CZE,CZE,134635011.87654257,136448750.61606622,135529657.3804254,134278437.77475348,127526974.36417086,116278153.88203156,120840877.80044068,119664631.68697669,106692107.62705693,99548161.31955452,99796129.06745017,-34838882.80909242,-25.876540079365785
DEU,DEU,1026577045.5439456,1026796686.9629496,977504505.9827412,944639876.6632272,880978694.1501667,811477045.6637951,851948284.158936,848694800.7891189,775177603.8616693,762222626.4524003,756559138.9733564,-270017906.5705893,-26.302741498327254
DJI,DJI,3126250.939894883,3125147.44953254,3080483.964764551,3177749.4963156134,3283551.7185592847,3387204.8889634013,3372944.260341252,3431442.359117274,3499258.705246078,3402578.3642683118,3442403.099133187,316152.159238304,10.1128209256591
DMA,DMA,323101.5399600231,328465.26479867427,296924.16556776874,289792.610238048,336229.7497254739,302938.5200931097,299229.3285837365,338337.07815702894,362648.1840515645,377133.953479537,379598.7404499429,56497.200489919866,17.48589638319588
DNK,DNK,61749652.24865803,64395990.91135654,61813618.81568652,63343524.5396275,60280128.29799536,56481962.61196149,59482065.78247188,59442309.77174872,57586810.60166386,56768635.834332205,56728505.14591755,-5021147.1027404815,-8.131458105255327
DOM,DOM,38658095.12543288,40297532.73260719,40371230.97523547,42014657.47194,44768118.482532,42879819.247752726,45823665.7708108,48734321.74779786,50474783.932561286,51929028.83184459,52230744.93026552,13572649.804832635,35.10946351803892
DZA,DZA,301672023.05306566,305066611.51482844,305532024.21600085,314032632.89416474,315725322.35364085,303469155.7355251,325398109.5809398,339401566.3369817,341432577.6369151,327528511.72422737,327124075.2804716,25452052.227405906,8.436994577693655
ECU,ECU,93395520.36119848,92549362.14505447,92397088.57463364,91920685.00628744,93491704.5452267,83338173.65988198,84887717.84779848,86846227.89990419,86938424.88076718,90624036.35307918,88274087.28838374,-5121433.072814733,-5.483596057935185
EGY,EGY,375771700.9533336,375721975.4187042,378423592.2163418,378562692.11343145,361613006.7914158,361960380.0405577,365513591.2937948,369980521.20585465,381057640.7289594,390399826.2163437,385496467.5678741,9724766.614540458,2.587945443967362
ERI,ERI,10558960.088083874,9676123.027235154,9183919.406127471,9695331.473241877,9791505.364038892,9766969.801522544,10031072.185024204,10181247.5199745,10504748.499329358,10420455.20040049,10429076.341368493,-129883.74671538174,-1.2300808567498964
ESH,ESH,1027841.6220363444,1076067.0474322257,1005765.805361536,1056058.1764782972,1135348.2313215125,973611.213672804,1239285.650968618,1277258.3247432588,1286996.2237994275,1285670.9316609814,1227513.201159672,199671.57912332783,19.426298258650156
ESP,ESP,367379765.7044905,358690749.11530256,374553676.7173166,373225402.7411196,357131553.3814539,311005818.66948444,332709033.5318931,342787261.714379,331043780.63325506,329226216.2133487,330696959.1526993,-36682806.55179113,-9.984982836887566
EST,EST,30170618.402451985,29877322.148859456,31553528.48664404,33762210.21543117,25304494.0974307,22195940.990807757,23259587.20084162,25157412.443594333,21290282.746680044,20444305.94407975,20182675.301159665,-9987943.10129232,-33.10486702016222
ETH,ETH,198161481.21445188,207561734.01165843,212587340.8378473,221569800.2913272,236892434.4366028,247178528.8610232,237168879.47126144,242245845.1666928,254785238.0660189,263986892.2667004,263815399.1898264,65653917.97537452,33.131523630630994
FIN,FIN,89025893.10083136,91543106.82297131,89844923.78369978,92664549.6364178,88974221.22996937,82257754.85797575,82685138.84815004,80447533.63119508,75966607.28651921,73907855.92620787,74452429.82507439,-14573463.27575697,-16.369915277627108
FJI,FJI,8811995.802848497,9188516.663860928,9629806.44300219,9962037.65183711,10095608.790180692,9582055.775420412,3092452.5150269084,3556630.269282978,3797590.123894856,3931616.763101465,3976692.625721667,-4835303.17712683,-54.87182796391945
FLK,FLK,6917418.064229475,6861132.953019328,6863624.457292533,6881297.328925198,6857562.77540318,6855265.0153910415,6903207.34857385,6914114.049022257,6897569.048090852,6994127.962731079,6963361.528737822,45943.46450834628,0.6641707076506425
FRA,FRA,510385809.9544486,512051489.4026301,520982506.24998,512227688.7227439,501613169.0951829,444337143.1356689,474772584.5706637,469586291.51161087,444392565.0929745,438399792.1588027,439095771.359798,-71290038.59465057,-13.96787238285742
FRO,FRO,1229570.347264685,1221714.167466384,1374919.5256660406,1471987.8749835545,1567864.6136708497,1619610.3734709949,1715327.8123549572,1720378.896056994,1736567.539433841,1615464.7845148009,1623242.452774199,393672.105509514,32.01704614829733
FSM,FSM,418755.4234178519,442657.20040175214,547636.7966672297,598697.0887257215,505379.5342719772,396519.8592606764,351379.7921821473,360642.0818064911,399856.1616051105,457426.4540685837,425482.801992701,6727.378574849165,1.6065173604059335
GAB,GAB,30826033.332690224,30929991.286017668,24243084.643895097,22873368.716712218,24803561.15600261,24146040.97893755,23589640.50735359,24402710.55529772,26919881.95915322,27346472.39746056,26901531.20744589,-3924502.1252443343,-12.731129181912936
GBR,GBR,578664889.2452499,558847258.2451088,549434774.0504755,538851133.2946599,527074876.5770713,471172285.0473595,486767537.9679916,484332965.0810074,461561820.9598192,451652180.5805312,451166691.01038885,-127498198.23486102,-22.033166449956276
GEO,GEO,18549269.447826967,19480082.63166064,19234219.68221377,18895065.002199396,20106851.05411525,19276404.92334425,20699376.71521477,21824381.411848117,22269540.93171288,22820795.563515466,23110883.919047967,4561614.471221,24.591882090296497
GGY,GGY,768712.4612780976,790694.3215949587,805954.404276019,823013.8064329779,830867.4965545662,762310.6565569428,816947.3032262283,834785.4505027763,878950.50759495,845697.4193379511,861339.1433433319,92626.68206523429,12.049587684740898
GHA,GHA,40529390.48245432,41712152.249187775,44889882.0848625,48481264.875857614,52183529.26061846,55807791.08315157,56320811.86504121,57097024.60915573,58103659.85199719,58850842.63217025,58990340.26340093,18460949.780946605,45.54953716596992
