iso3_country,emissions
ABW,1716353.9491282736
AFG,47774753.0662068
AGO,93369995.7096732
AIA,164915.61431622892
ALA,431071.5643641669
ALB,11111707.268896371
AND,244392.25139658336
ARE,437054861.9198544
ARG,463406268.9835172
ARM,13327155.697715688
ASM,334195.2730466714
ATA,615648.3053032754
ATF,703.8446364363974
ATG,1043826.7588595996
AUS,789368731.4671799
AUT,80530835.21993318
AZE,91958686.53398204
BDI,12794025.009466637
BEL,128238101.51395053
BEN,19269527.976804774
BES,1099666.2922171932
BFA,41720129.23699029
BGD,329452748.5470354
BGR,51550375.762182586
BHR,75956371.1732279
BHS,7644733.845611288
BIH,32652740.345567614
BLM,139079.0898932672
BLR,130243893.50311863
BLZ,2320478.096147049
BMU,1088596.158113879
BOL,82161150.6164844
BRA,1367986488.607181
BRB,2477824.181659105
BRN,16341595.154061971
BTN,3852158.477896332
BVT,0.0
BWA,17342519.82002208
CAF,15350342.465201968
CAN,934156698.9840608
CCK,5081.664937817368
CHE,44533106.52252848
CHL,124503647.43439344
CHN,17518235252.209835
CIV,43931332.934595264
CMR,60422668.8423386
COD,67859028.27829756
COG,35188327.928956024
COK,198200.49511611785
COL,255137547.74988335
COM,881815.2232446062
CPV,1863486.7509498096
CRI,21050590.26623819
CUB,45983589.845006734
CUW,2818494.379505273
CXR,27778.9097133057
CYM,1086844.0762135729
CYP,11600326.677495142
CZE,99796129.06745017
DEU,756559138.9733564
DJI,3442403.099133187
DMA,379598.7404499429
DNK,56728505.14591755
DOM,52230744.93026552
DZA,327124075.2804716
ECU,88274087.28838374
EGY,385496467.5678741
ERI,10429076.341368493
ESH,1227513.201159672
ESP,330696959.1526993
EST,20182675.301159665
ETH,263815399.1898264
FIN,74452429.82507439
FJI,3976692.625721667
FLK,6963361.528737822
FRA,439095771.359798
FRO,1623242.452774199
FSM,425482.801992701
GAB,26901531.20744589
GBR,451166691.01038885
GEO,23110883.919047967
GGY,861339.1433433319
GHA,58990340.26340093
GIB,783319.0115363384
GIN,48986318.862128966
GLP,2760068.983136106
GMB,3635333.900060462
GNB,4110785.786887536
GNQ,11210839.441264456
GRC,92032100.0838043
GRD,699879.5799005927
GRL,1250576.9154956385
GTM,46153093.877773054
GUF,1014776.2966602084
GUM,2484719.6533264657
GUY,23987758.7121603
HKG,62428791.48190457
HMD,0.0
HND,26492844.98984484
HRV,30596483.004759084
HTI,11592131.680394469
HUN,72543487.1439647
IDN,1635942658.8070278
IMN,865212.8407008147
IND,4334488769.409461
IOT,74249.1359396701
IRL,71923560.20746596
IRN,1239690071.290264
IRQ,516126545.8826731
ISL,9836851.4799131
ISR,93951283.5506936
ITA,377644987.1676097
JAM,11230799.380855726
JEY,1070884.1204534462
JOR,38921969.0898326
JPN,1288640112.983194
KAZ,398779125.6152464
KEN,116662518.23243476
KGZ,25037182.69744239
KHM,50095207.43147132
KIR,320366.04704621166
KNA,558198.5389481876
KOR,714434190.2232554
KWT,220693091.15700695
LAO,41324280.14718853
LBN,21361245.54586787
LBR,5830541.458344038
LBY,143259229.22954473
LCA,1036301.6033204888
LIE,101313.7045949412
LKA,43965575.6451211
LSO,5137468.995548119
LTU,32301866.04783104
LUX,6249361.417842818
LVA,20086010.805062965
MAC,2420401.7243549954
MAF,465012.6337130314
MAR,120129795.09817377
MCO,148809.13638407606
MDA,16525973.774289448
MDG,41989653.92019776
MDV,2786304.426540737
MEX,805612945.2265966
MHL,366613.5890845777
MKD,10778747.85561598
MLI,74654624.20610838
MLT,4453500.713423552
MMR,120106407.4990626
MNE,3663622.515858805
MNG,138467703.01024234
MNP,626063.621995462
MOZ,47245415.448247895
MRT,23575519.94940885
MSR,30202.251510580085
MTQ,3425294.432024255
MUS,8965184.679373134
MWI,22278833.58161008
MYS,436127757.5299812
MYT,671754.9319894444
NAM,18993250.85352949
NCL,6166824.88357416
NER,68221580.30297545
NFK,14665.374613949729
NGA,440745645.6404249
NIC,22340625.773135167
NIU,22307.766888925333
NLD,205362867.80071983
NOR,115127816.77148116
NPL,48177734.46339617
NRU,69530.88944306529
NZL,86206676.806294
OMN,183930420.85161367
PAK,616235371.0363815
PAN,29377920.7743836
PCN,10048.409995169804
PER,130337765.2527122
PHL,258024809.5229494
PLW,853442.9460789618
PNG,45585471.72332593
POL,390644528.6159805
PRI,33066997.296381205
PRK,118943754.08883716
PRT,85877896.74207184
PRY,41730065.19016761
PSE,6342750.43973492
PYF,2677713.836958961
QAT,245616081.3416025
REU,6838946.283523412
ROU,118430913.78993715
RUS,2976502796.200675
RWA,14273320.25550584
SAU,1059226710.4121132
SDN,144723981.62670717
SEN,45280156.53803429
SGP,114827446.72568524
SGS,82452.38676544
SHN,46402.70471623629
SJM,404071.86873057927
SLB,815123.178042912
SLE,9201052.741666216
SLV,14827042.138402907
SMR,67728.32626441357
SOM,40773960.876084425
SPM,139588.19371744047
SRB,64093351.55071187
SSD,55106090.63411892
STP,285244.8484745159
SUR,5972223.007137812
SVK,42551438.850452825
SVN,15668245.454454076
SWE,83188427.69424158
SWZ,3822466.0699421726
SXM,848759.2091735039
SYC,1597092.3798797452
SYR,76187854.83967601
TCA,775252.9834669774
TCD,136388547.7607913
TGO,11564740.39205059
THA,503472966.4787769
TJK,27517806.398735978
TKL,2809.7978524238583
TKM,240154822.75350732
TLS,2127802.667026138
TON,446005.6810299833
TTO,43293476.38163929
TUN,55643719.1144272
TUR,631248606.4122332
TUV,62214.63773235553
TWN,303751213.1997698
TZA,154332171.75984132
UGA,70674435.19008276
UKR,271188887.1731654
UMI,2880.6903197891424
UNK,200773923.1581777
URY,40003358.312283576
USA,6958966262.668473
UZB,248700565.1151356
VAT,11474.654123941418
VCT,531774.8359421241
VEN,269416605.94775367
VGB,641877.6789569561
VIR,1307128.327739959
VNM,535848085.8269631
VUT,678362.7263743326
WLF,40816.80995662029
WSM,610447.3463114202
XKX,10380441.200091382
YEM,47908130.49224909
ZAF,612058864.3129096
ZMB,54419551.22869298
ZNC,3000944.6344348597
ZWE,44047309.658610456
