iso3_country,year,emissions
ABW,2025,1716353.9491282736
AFG,2025,47774753.0662068
AGO,2025,93369995.70967321
AIA,2025,164915.61431622892
ALA,2025,431071.5643641669
ALB,2025,11111707.268896373
AND,2025,244392.25139658336
ARE,2025,437054861.9198544
ARG,2025,463406268.98351717
ARM,2025,13327155.697715688
ASM,2025,334195.2730466714
ATA,2025,615648.3053032754
ATF,2025,703.8446364363974
ATG,2025,1043826.7588595997
AUS,2025,789368731.4671799
AUT,2025,80530835.21993318
AZE,2025,91958686.53398205
BDI,2025,12794025.009466635
BEL,2025,128238101.51395051
BEN,2025,19269527.976804778
BES,2025,1099666.2922171932
BFA,2025,41720129.23699029
BGD,2025,329452748.5470354
BGR,2025,51550375.762182586
BHR,2025,75956371.1732279
BHS,2025,7644733.845611288
BIH,2025,32652740.345567614
BLM,2025,139079.0898932672
BLR,2025,130243893.50311863
BLZ,2025,2320478.096147049
BMU,2025,1088596.158113879
BOL,2025,82161150.6164844
BRA,2025,1367986488.607181
BRB,2025,2477824.181659105
BRN,2025,16341595.154061973
BTN,2025,3852158.477896332
BVT,2025,0.0
BWA,2025,17342519.82002208
CAF,2025,15350342.465201968
CAN,2025,934156698.9840609
CCK,2025,5081.664937817368
CHE,2025,44533106.522528484
CHL,2025,124503647.43439344
CHN,2025,17518235252.209835
CIV,2025,43931332.934595264
CMR,2025,60422668.8423386
COD,2025,67859028.27829756
COG,2025,35188327.928956024
COK,2025,198200.49511611785
COL,2025,255137547.74988338
COM,2025,881815.2232446062
CPV,2025,1863486.7509498096
CRI,2025,21050590.26623819
CUB,2025,45983589.845006734
CUW,2025,2818494.379505273
CXR,2025,27778.9097133057
CYM,2025,1086844.0762135729
CYP,2025,11600326.677495142
CZE,2025,99796129.06745015
DEU,2025,756559138.9733564
DJI,2025,3442403.099133187
DMA,2025,379598.74044994294
DNK,2025,56728505.14591755
DOM,2025,52230744.930265516
DZA,2025,327124075.28047156
ECU,2025,88274087.28838374
EGY,2025,385496467.5678741
ERI,2025,10429076.341368493
ESH,2025,1227513.201159672
ESP,2025,330696959.15269935
EST,2025,20182675.301159665
ETH,2025,263815399.1898264
FIN,2025,74452429.82507439
FJI,2025,3976692.625721667
FLK,2025,6963361.528737822
FRA,2025,439095771.359798
FRO,2025,1623242.452774199
FSM,2025,425482.801992701
GAB,2025,26901531.20744589
GBR,2025,451166691.01038885
GEO,2025,23110883.919047967
GGY,2025,861339.1433433319
GHA,2025,58990340.26340093
GIB,2025,783319.0115363384
GIN,2025,48986318.862128966
GLP,2025,2760068.983136106
GMB,2025,3635333.900060462
GNB,2025,4110785.7868875363
GNQ,2025,11210839.441264456
GRC,2025,92032100.0838043
GRD,2025,699879.5799005927
GRL,2025,1250576.9154956385
GTM,2025,46153093.877773054
GUF,2025,1014776.2966602084
GUM,2025,2484719.6533264657
GUY,2025,23987758.7121603
HKG,2025,62428791.48190457
HMD,2025,0.0
HND,2025,26492844.989844836
HRV,2025,30596483.004759084
HTI,2025,11592131.680394469
HUN,2025,72543487.1439647
IDN,2025,1635942658.8070278
IMN,2025,865212.8407008147
IND,2025,4334488769.409461
IOT,2025,74249.1359396701
IRL,2025,71923560.20746596
IRN,2025,1239690071.290264
IRQ,2025,516126545.8826731
ISL,2025,9836851.4799131
ISR,2025,93951283.55069359
ITA,2025,377644987.1676097
JAM,2025,11230799.380855726
JEY,2025,1070884.1204534462
JOR,2025,38921969.0898326
JPN,2025,1288640112.983194
KAZ,2025,398779125.6152464
KEN,2025,116662518.23243476
KGZ,2025,25037182.69744239
KHM,2025,50095207.43147132
KIR,2025,320366.04704621166
KNA,2025,558198.5389481876
KOR,2025,714434190.2232554
KWT,2025,220693091.15700698
LAO,2025,41324280.14718853
LBN,2025,21361245.54586787
LBR,2025,5830541.458344038
LBY,2025,143259229.22954473
LCA,2025,1036301.6033204887
LIE,2025,101313.70459494121
LKA,2025,43965575.6451211
LSO,2025,5137468.995548119
LTU,2025,32301866.047831036
LUX,2025,6249361.417842818
LVA,2025,20086010.805062965
MAC,2025,2420401.7243549954
MAF,2025,465012.6337130314
MAR,2025,120129795.09817375
MCO,2025,148809.13638407606
MDA,2025,16525973.774289448
MDG,2025,41989653.92019776
MDV,2025,2786304.426540737
MEX,2025,805612945.2265966
MHL,2025,366613.5890845777
MKD,2025,10778747.855615979
MLI,2025,74654624.20610838
MLT,2025,4453500.713423552
MMR,2025,120106407.4990626
MNE,2025,3663622.515858805
MNG,2025,138467703.01024234
MNP,2025,626063.621995462
MOZ,2025,47245415.448247895
MRT,2025,23575519.94940885
MSR,2025,30202.251510580085
MTQ,2025,3425294.432024255
MUS,2025,8965184.679373134
MWI,2025,22278833.581610076
MYS,2025,436127757.5299812
MYT,2025,671754.9319894444
NAM,2025,18993250.853529494
NCL,2025,6166824.88357416
NER,2025,68221580.30297545
NFK,2025,14665.374613949729
NGA,2025,440745645.6404249
NIC,2025,22340625.773135167
NIU,2025,22307.766888925333
NLD,2025,205362867.80071986
NOR,2025,115127816.77148116
NPL,2025,48177734.46339617
NRU,2025,69530.88944306529
NZL,2025,86206676.806294
OMN,2025,183930420.85161367
PAK,2025,616235371.0363815
PAN,2025,29377920.774383597
PCN,2025,10048.409995169803
PER,2025,130337765.2527122
PHL,2025,258024809.5229494
PLW,2025,853442.9460789618
PNG,2025,45585471.72332593
POL,2025,390644528.6159805
PRI,2025,33066997.296381205
PRK,2025,118943754.08883716
PRT,2025,85877896.74207184
PRY,2025,41730065.19016761
PSE,2025,6342750.43973492
PYF,2025,2677713.836958961
QAT,2025,245616081.3416025
REU,2025,6838946.2835234115
ROU,2025,118430913.78993717
RUS,2025,2976502796.200675
RWA,2025,14273320.25550584
SAU,2025,1059226710.4121131
SDN,2025,144723981.62670717
SEN,2025,45280156.53803429
SGP,2025,114827446.72568525
SGS,2025,82452.38676544
SHN,2025,46402.70471623629
SJM,2025,404071.86873057927
SLB,2025,815123.178042912
SLE,2025,9201052.741666216
SLV,2025,14827042.138402907
SMR,2025,67728.32626441357
SOM,2025,40773960.876084425
SPM,2025,139588.19371744047
SRB,2025,64093351.55071187
SSD,2025,55106090.63411892
STP,2025,285244.8484745159
SUR,2025,5972223.007137812
SVK,2025,42551438.850452825
SVN,2025,15668245.454454077
SWE,2025,83188427.69424158
SWZ,2025,3822466.0699421726
SXM,2025,848759.2091735039
SYC,2025,1597092.3798797452
SYR,2025,76187854.83967601
TCA,2025,775252.9834669774
TCD,2025,136388547.7607913
TGO,2025,11564740.39205059
THA,2025,503472966.47877693
TJK,2025,27517806.398735978
TKL,2025,2809.7978524238583
TKM,2025,240154822.75350735
TLS,2025,2127802.667026138
TON,2025,446005.68102998333
TTO,2025,43293476.38163929
TUN,2025,55643719.114427194
TUR,2025,631248606.4122332
TUV,2025,62214.63773235553
TWN,2025,303751213.1997698
TZA,2025,154332171.75984132
UGA,2025,70674435.19008276
UKR,2025,271188887.1731654
UMI,2025,2880.6903197891424
UNK,2025,200773923.1581777
URY,2025,40003358.312283576
USA,2025,6958966262.668473
UZB,2025,248700565.11513558
VAT,2025,11474.654123941418
VCT,2025,531774.8359421241
VEN,2025,269416605.94775367
VGB,2025,641877.6789569561
VIR,2025,1307128.327739959
VNM,2025,535848085.82696307
VUT,2025,678362.7263743326
WLF,2025,40816.80995662029
WSM,2025,610447.3463114202
XKX,2025,10380441.200091382
YEM,2025,47908130.492249094
ZAF,2025,612058864.3129096
ZMB,2025,54419551.22869298
ZNC,2025,3000944.6344348593
ZWE,2025,44047309.658610456
